item;descripcion;medida;precio
1;Balasto;Unidad;51577.50 
2;Bala Halógena;Unidad;9024.59 
3;Bala De Riel;Unidad;20631.00 
4;Base De Fotocelda;Unidad;12250.10 
5;Fotocelda Completa;Unidad;51577.50 
6;Esquinero Parte Superior Para Puertas De Ingreso Al Site Externo;Unidad;51577.50 
7;Manija Vertical;Unidad;167626.30 
8;Transformador Dicroico;Unidad;16762.98 
9;Toma Levinton;Unidad;22565.60 
10;Bloque Inferior y/o Superior De Puerta;Unidad;82008.82 
11;220;Unidad;180306.70 
12;Aislador De Aluminio Para Vidrios;Unidad;21187.45 
13;Roseta;Unidad;3869.20 
14;Lámpara 2 X 48 W;Unidad;93871.06 
15;Lámpara 30 X 30;Unidad;109601.31 
16;Lámpara 17W;Unidad;58024.99 
17;Lámpara Tortuga;Unidad;46813.51 
18;Lámpara Redonda Economizadora;Unidad;91009.83 
19;Sum E Inst Temporizador;Unidad;283675.09 
20;Transformador. Regulador. Polo A Tierra;Unidad;876816.38 
21;"Extractor De 4 """;Unidad;122496.28 
22;Salida Eléctrica;Unidad;30946.50 
23;Suministro E Instalación Del Sandblasting ;Unidad;99444.96 
24;Acometida 2 X 14 Dúplex;Metro Lineal;3467.19 
25;Acometida Duplex 3 X 14;Metro Lineal;3467.19 
26;Acometida Bifásica 4 X 10 Con Regata Cable 10;Metro Lineal;29116.83 
27;Acometida Encauchado 3 X 10;Metro Lineal;23500.48 
28;Acometida Encauchetado 2 X 14;Metro Lineal;9012.80 
29;Acometida Encauchetado 2 X 16;Metro Lineal;8595.46 
30;Adecuación Extractor;Unidad;499137.02 
31;Aislamiento De Lamina (Con Silicona Hasta 2 Ml);Unidad;138459.96 
32;Alambre # 12;Metro Lineal;3051.03 
33;Amaestramiento De Cerradura Yale;Unidad;45667.61 
34;Arreglo Puerta Metálica;Unidad;110919.34 
35;Aseo Jornada Diaria Bus Móvil 1 Día;Día;100698.15 
36;Automático Enchufable;Unidad;20104.03 
37;Bala De 20 W;Unidad;83190.09 
38;Base Pintura Lamina M2;Metro Cuadrado (m2);31889.63 
39;Brazo Hidráulico;Unidad;314681.72 
40;Cable #12 Entorchado ;Metro Lineal;9428.96 
41;Cable Desnudo No 12 Para Polo A Tierra ;Metro Lineal;10814.18 
42;Cambio Toma De Normal A Regulada;Unidad;24956.44 
43;Canaleta Plástica ;Metro Lineal;11092.41 
44;Candados;Unidad;97859.32 
45;Cerradura Mariposa;Unidad;100247.80 
46;Cerradura Pomo;Unidad;84812.28 
47;Cerradura Yale 170 Chapas Zócalo;Unidad;195719.83 
48;Contactor;Unidad;133662.95 
49;Contramanija;Unidad;106992.37 
50;Copia Llaves Convencionales;Unidad;6294.22 
51;Desmonte Aviso;Unidad;83190.09 
52;Empaque De Zócalo;Metro Lineal;9786.17 
53;Acometida Encauchetado 3X12 Homologado;Metro Lineal;14419.30 
54;Extracción De Antena Y Reubicación De La Misma (Incluye Perforacion);Unidad;143528.11 
55;"Extractor De 6""";Unidad;456678.42 
56;Fotocelda Sin  Base;Unidad;41594.46 
57;Guardaescobas;Metro Lineal;84812.28 
58;Impermeabilización Y Suministro De Tela Asfáltica (Hasta 4 Metros);Unidad;1195790.53 
59;Instalación Aviso;Unidad;83190.09 
60;Instalación De Perfil Metálico Vertical Fachada En Aluminio;Unidad;234860.96 
61;Interruptor Doble;Unidad;20797.23 
62;Lámpara De 2 X 32;Unidad;150771.36 
63;Lámpara De 60 X 60 Especular;Unidad;240594.02 
64;Lámpara Reflectora;Unidad;100247.80 
65;Multitoma;Unidad;69230.57 
66;Instalación De Papelera En Vidrio;Unidad;56643.30 
67;Perforación Y Ajuste De Pasador En Puerta Site Supervisor;Unidad;100698.15 
68;Pintura Lamina;Metro Cuadrado (m2);44368.44 
69;Pintura Perfilería En Aluminio;Unidad;195719.83 
70;Pintura Zócalo;Unidad;62936.34 
71;Porta Chapa;Unidad;94405.10 
72;Regulador De 2 Kva;Unidad;242635.90 
73;Rejilla Plástica Ducto Aire Acondicionado;Unidad;151047.22 
74;Restauración De Papelera Y/O Pintura;Unidad;32619.38 
75;Suministro E Instalación De Ojo Mágico;Unidad;23570.04 
76;Suministro E Instalación De Zócalo Puerta De Vidrio Templado;Unidad;187175.06 
77;Suministro E Instalación Manija Cromada ;Unidad;25954.98 
78;Suministro E Instalación Pivote Puerta;Unidad;58925.68 
79;Suministro Techo Antibandalico;Metro Cuadrado (m2);485271.81 
80;Taco De 20 Amperios;Unidad;18717.62 
81;Taco Pacha 2X30 Amperios ;Unidad;47141.25 
82;Tapa Bisagra;Unidad;57474.43 
83;Toma Encauchetado Pequeña ;Unidad;6656.15 
84;Toma Naranja Regulada;Unidad;37186.50 
85;Tope Puerta;Unidad;24464.83 
86;Tubo Lámpara De 32;Unidad;71764.05 
